country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",08-04-2025 22:00:00,28.530785,77.271255,SO2,13.0,22.0,18.0
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",08-04-2025 22:00:00,23.020509,72.579261,OZONE,3.0,79.0,48.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",08-04-2025 22:00:00,23.041137,72.456691,CO,9.0,60.0,31.0
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",08-04-2025 22:00:00,23.023389,72.515201,CO,10.0,60.0,24.0
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",08-04-2025 22:00:00,23.076793,72.627874,PM2.5,42.0,167.0,74.0
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",08-04-2025 22:00:00,23.076793,72.627874,NO2,9.0,72.0,27.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",08-04-2025 22:00:00,28.636429,77.201067,PM10,115.0,191.0,156.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",08-04-2025 22:00:00,28.636429,77.201067,CO,15.0,52.0,23.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",08-04-2025 22:00:00,28.684678,77.076574,OZONE,7.0,170.0,130.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",08-04-2025 22:00:00,28.570173,76.933762,PM2.5,83.0,306.0,173.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",08-04-2025 22:00:00,28.570173,76.933762,PM10,134.0,279.0,193.0
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",08-04-2025 22:00:00,28.5504249,77.2159377,PM10,162.0,379.0,260.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",08-04-2025 22:00:00,28.710508,77.249485,NO2,18.0,109.0,52.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",08-04-2025 22:00:00,28.710508,77.249485,CO,24.0,74.0,40.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",08-04-2025 22:00:00,28.672342,77.31526,NH3,1.0,4.0,3.0
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",08-04-2025 22:00:00,23.076793,72.627874,SO2,2.0,10.0,5.0
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",08-04-2025 22:00:00,23.04307,72.562968,PM10,61.0,250.0,100.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",08-04-2025 22:00:00,28.63611,77.173332,PM10,157.0,264.0,185.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",08-04-2025 22:00:00,28.63611,77.173332,OZONE,1.0,185.0,135.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",08-04-2025 22:00:00,28.563262,77.186937,PM2.5,123.0,328.0,243.0
